tick,id,x,y,energy
0,7,-6.206925967551821,-14.242902214764506,92
0,0,8.13919469336898,4.868792427922954,12
0,8,-8.436561846983588,3.696798001859757,72
0,6,-13.730769375647249,-14.111069720738897,61
0,9,-12.370460286940075,11.771953369123054,90
0,5,-5.798817573165571,10.33290797996844,60
0,4,0.23684758667898398,-14.421327756466372,42
0,1,-8.45888524280078,6.801786404638161,22
0,2,11.163765162137723,-1.9027306844808476,70
0,3,-10.43117601586762,-2.2172930104483006,78
1,9,-12.612382182539742,10.801657642847058,89
1,0,8.000021592408913,5.859060496664524,11
1,3,-9.565150612083182,-2.7172930104483006,77
1,6,-12.953623414190277,-14.740390111788734,60
1,8,-9.410931911768824,3.4718469475158917,71
1,4,-0.7194571692840515,-14.128956051743636,41
1,5,-5.0441079929427985,9.676848950977933,59
1,2,12.002435730083148,-2.4473697194958746,69
1,1,-9.297555810746205,6.257147369623134,21
1,7,-5.245664271613502,-14.518539570581504,91
2,0,8.874641299548308,5.374250876418187,10
2,8,-9.480688385512948,4.469410997775716,70
2,6,-13.245995118913013,-13.784085355825699,59
2,5,-4.529069918032745,10.534016251680045,58
2,7,-5.7903033066285285,-13.67986900263608,90
2,1,-9.940343420432745,5.491102926504156,20
2,4,-0.927368860101811,-15.107103652477441,40
2,3,-8.570628716714909,-2.8218214737159544,76
2,9,-11.75521488183763,10.286619567937004,88
2,2,11.225289768626178,-1.818049328446037,68
3,5,-4.7709918136324125,9.56372052540405,57
3,6,-12.416957546357972,-14.343278259296445,58
3,0,8.27282627639626,6.17288638646548,9
3,1,-10.749360414807692,4.903317674211682,19
3,8,-8.837900775826409,5.235455440894694,69
3,9,-11.225295617604424,9.438571471780579,87
3,2,10.569230739635671,-1.0633397482232652,67
3,4,-1.2529370145589676,-14.161585076878124,39
3,7,-5.651130205668463,-14.67013707137765,89
3,3,-8.261611722339962,-1.8707649574208007,75
4,6,-11.61832203631068,-13.741463236144398,57
4,4,-1.1831805408148424,-13.1640210266183,38
4,0,7.463809282021313,5.585101134173007,8
4,8,-8.143242405367412,5.954795241233345,68
4,9,-12.215563686345995,9.299398370820512,86
4,1,-11.64815446110686,4.464946527422605,18
4,2,9.75007869534668,-0.4897633118722191,66
4,7,-5.97669836012562,-15.615655646976968,88
4,5,-5.4780985948189596,8.856613744217501,56
4,3,-9.038757683796932,-2.5000853484706385,74
5,7,-6.903882214692407,-15.241049053561056,87
5,5,-6.316769162764384,9.401252779232529,55
5,0,7.44635687558403,6.584948829329398,7
5,8,-9.140806455627235,5.8850387674892195,67
5,3,-9.445494326872733,-3.413630806113239,73
5,2,10.742624846988003,-0.6116326552773664,65
5,6,-12.492941743450075,-14.226272856390734,56
5,4,-0.9582294864709772,-14.138391091403536,37
5,1,-12.317285067465718,3.7218017019452105,17
5,9,-12.573931635891295,8.365817944323311,85
6,8,-8.831789461252287,4.933982251194066,66
6,3,-9.306321225912669,-4.40389887485481,72
6,5,-5.609662381577836,10.108359560419077,54
6,0,7.85309351865983,7.498494286971999,6
6,6,-13.094756766602123,-13.427637346343442,55
6,7,-7.3265004764331065,-14.334741266524407,86
6,4,-1.5318059228220235,-13.319239047114545,36
6,1,-13.024391848652266,4.428908483131758,16
6,9,-13.328641216114066,7.709758915332804,84
6,2,11.149361490063804,-1.525178112919967,64
7,8,-9.140806455627233,3.982925734898912,65
7,0,7.887993015362332,6.499103459952903,5
7,7,-6.344873292985443,-14.525550261900952,85
7,1,-12.125597802353099,3.99053733634268,15
7,6,-14.092320816861946,-13.357880872599317,54
7,2,12.145556188155549,-1.6123338556676252,63
7,9,-13.751259477854767,6.803451128296154,83
7,3,-8.69065975058701,-5.191909628461532,71
7,4,-0.849807562759525,-14.050592748733715,35
7,5,-4.821651627971114,9.492698085093418,53
8,5,-3.851355901695118,9.734619980693084,52
8,7,-6.751609936061243,-13.612004804258351,84
8,3,-7.734354994623974,-4.899537923738794,70
8,4,-0.5407905683845775,-13.099536232438561,34
8,2,11.615636923922343,-0.7642857595111994,62
8,0,8.8539188416514,6.240284414850382,4
8,6,-15.086842712230219,-13.46240933586697,53
8,9,-12.922221905299725,6.2442582248254075,82
8,8,-10.137001153718979,4.07008147764657,64
8,1,-12.610407422599435,3.115917629203284,14
9,8,-10.29343561875921,3.0823931370514326,63
9,5,-4.796874477294435,10.060188135150241,51
9,7,-6.7341575296239595,-12.61215710910196,83
9,6,-15.985636758529386,-13.024038189077894,52
9,4,-0.8663587228417342,-14.045054808037879,33
9,0,9.01035330669163,7.227972755445521,3
9,9,-13.66536673077712,5.575127618466549,81
9,1,-11.644481596310367,3.374736674305805,13
9,2,12.605904992663914,-0.9034588604712648,61
9,3,-7.54354599924743,-3.9179107402911306,69
10,7,-7.532793039671253,-12.010342085949912,82
10,4,-0.9186946790846777,-15.043684342792453,32
10,6,-15.32957772953888,-13.778747769300665,51
10,8,-11.122473191314251,2.523200233580686,62
10,5,-5.6355450452398586,9.515549100135214,50
10,2,13.028523254404615,0.002848926565385157,60
10,3,-6.660598406388503,-3.44843917750524,68
10,9,-14.321425759767626,6.329837198689321,80
10,0,9.235304361035496,8.202342820230756,2
10,1,-10.69896302071105,3.700304828762962,12
11,6,-16.186745030240992,-14.293785844210719,50
11,2,13.794567697523593,-0.6399386831211542,59
11,4,0.07385147255664437,-15.165553686197601,31
11,0,8.647519108743023,7.3933258258558086,1
11,8,-11.738134666639908,1.735189479973964,61
11,9,-15.3200552945222,6.277501242446377,79
11,3,-6.101405502917756,-2.6194016049501982,67
11,1,-10.474011966367184,2.725934763977727,11
11,7,-6.626485252634603,-12.432960347690612,81
11,5,-6.120354665486196,10.390168807274609,49
12,5,-6.558725812275274,11.288962853573775,48
12,2,13.151780087837054,-1.4059831262401323,58
12,9,-15.337507700959485,5.277653547289986,78
12,1,-11.387557424009785,3.1326714070535266,10
12,8,-12.651680124282509,1.3284528368981638,60
12,7,-5.944486892572105,-13.164314049309782,80
12,4,-0.8324563144800057,-15.5881719479383,30
12,6,-15.40959906878402,-14.923106235260557,49
12,0,7.648889573988448,7.445661782098752,0
12,3,-6.920557547206748,-3.1929780413012447,66
13,5,-6.058725812275274,10.422937449789336,47
13,4,-1.752961167932446,-15.978903076427573,29
13,3,-7.311288675696021,-4.113482894753685,65
13,6,-16.26676636948613,-14.408068160350503,48
13,0,7.8225377516553785,6.460854029086544,-1
13,9,-15.806979263745376,4.394705954431059,77
13,1,-11.24838432304972,4.122939475795097,9
13,8,-11.681384398006513,1.5703747324978314,59
13,2,12.926829033493188,-2.3803531910253675,57
13,7,-5.444486892572105,-14.030339453094221,79
14,9,16.193020736254624,4.394705954431059,76
14,3,-8.030628476034671,-3.4188245242946875,64
14,0,8.57724733187815,7.116913058077051,-2
14,2,11.993248606995987,-2.021985241480067,56
14,7,-4.493430376276951,-14.339356447469168,78
14,4,-1.5280101135885809,16.046726858787192,28
14,1,-10.566385962987221,3.391585774175927,8
14,5,-5.080578211541468,10.630849140607095,46
14,6,-16.457575364862677,-13.426440976902839,47
14,8,-12.57239092219488,1.1163842327582845,58
15,7,-5.312582420565943,-14.912932883820215,77
15,4,-2.2351168947751283,-16.246166360026262,27
15,3,-7.500709211801467,-4.266872620451114,63
15,1,-10.3075669178847,4.357511600464996,7
15,5,-4.292567457934746,11.246510615932754,45
15,2,10.995684556736164,-1.9522287677359418,55
15,9,-16.29194118883532,3.5375386537289466,75
15,6,-15.775577004800178,-14.15779467852201,46
15,8,-12.14977266045418,2.0226920197949343,57
15,0,9.015618478667227,8.015707104376219,-3
16,8,-11.68030109766829,2.9056396126538613,56
16,7,-4.7247971682734695,-15.721949878195161,76
16,1,-9.408772871585532,3.9191404536759182,6
16,4,-2.2525693012124117,-15.24631866486987,26
16,6,16.349803288060425,-14.642604298768346,45
16,3,-7.809726206176414,-3.31581610415596,62
16,5,-3.676905982609088,12.034521369539476,44
16,0,8.016988943912652,8.068043060619162,-4
16,2,10.787772865918404,-0.9740811670021362,54
16,9,15.76836619037877,3.195518510403278,74
17,2,11.507112666257056,-0.27942279654313895,53
17,1,-10.163482451808303,4.5751994826664255,5
17,8,-11.627965141425346,1.9070100778992876,55
17,4,-2.675187562953111,-16.15262645190652,25
17,6,15.383877461771357,-14.383785253665826,44
17,3,-8.61874320055136,-3.9036013564484335,61
17,5,-3.58975023986143,11.03832667144773,43
17,9,14.769736655624197,3.143182554160334,73
17,7,-5.581964468975581,-16.236987953105217,75
17,0,8.91578299021182,8.50641420740824,-5
18,0,9.306514118701093,9.42691906086068,-6
18,6,15.262008118366209,-13.391239102024503,43
18,1,-11.114538968103457,4.266182488291478,4
18,4,-2.115994659482364,16.018335975538438,24
18,9,13.849231802171756,2.75245142567106,72
18,3,-9.192319636902408,-3.084449312159442,60
18,7,-5.5296285127326374,15.764382512140209,74
18,5,-3.5199937661173046,12.035890721707554,42
18,8,-10.789294573479921,1.3623710428842606,54
18,2,10.877792275207218,0.4977231649138316,52
19,3,-9.314188980307556,-4.076995463800764,59
19,2,11.716462843152643,-0.04691587010119547,51
19,6,16.243635301813875,-13.582048097401048,42
19,9,14.174799956628913,3.697970001270377,71
19,8,-11.114862727937078,0.41685246728494385,53
19,7,-5.253991156915638,14.80312081620189,73
19,4,-2.306803654858909,15.036708792090774,23
19,5,-4.411000290305672,12.489881221447101,41
19,0,9.975644725059952,8.683774235383286,-7
19,1,-11.943576540658498,3.7069895848207315,3
20,6,-15.761842802817853,-13.686576560668701,41
20,9,13.431655131151519,3.0288393949115187,70
20,1,-10.982314844720179,3.4313522290037324,2
20,8,-10.30584573356213,-0.17093278500752918,52
20,3,-9.436058323712704,-5.069541615442086,58
20,7,-5.973330957254289,14.108462445742893,72
20,2,12.185934405938534,0.8360317227577315,50
20,5,-5.309794336604839,12.051510074658024,40
20,0,10.334012674605253,7.750193808886084,-8
20,4,-1.3671110340730004,15.378728935416444,22
21,5,-5.854433371619867,11.2128395067126,39
21,1,-11.80146688900917,2.857775792652686,1
21,4,-0.8371917698397955,14.530680839260018,21
21,3,-9.348902580965046,-6.065736313533831,57
21,0,9.372750978666934,7.474556453069085,-9
21,7,-6.821379053410715,13.578543181509687,71
21,6,-14.942690758528862,-13.113000124317654,40
21,9,12.433025596396945,3.0811753511544624,69
21,2,11.20430722249087,0.6452227273811869,49
21,8,-9.66305812387559,-0.9369772281265071,51
22,9,13.020810848689418,2.272158356779515,68
22,1,-12.640137456954594,3.4024148276677124,0
22,0,9.795369240407634,6.568248666032435,-10
22,8,-10.653326192617161,-1.0761503290865728,50
22,4,-0.4788238202944953,13.597100412762817,20
22,6,-14.00911033203166,-13.471368073862955,39
22,7,-6.219564030258667,14.37717869155698,70
22,3,-8.510232013019621,-5.521097278518804,56
22,5,-5.135093571281216,11.907497877171597,38
22,2,10.264614601704961,0.9872428707068559,48
23,5,-6.125361640022786,11.76832477621153,37
23,1,-13.606063283243662,3.6612338727702327,-1
23,4,-0.15325566583733868,12.6515818371635,19
23,9,12.59819258694872,3.178466143816165,67
23,2,10.247162195267677,1.9870905658632472,47
23,0,9.20758398811516,7.3772656604073825,-11
23,8,-11.647848087985434,-0.9716218658189198,49
23,6,-13.126162739172734,-13.940839636648846,38
23,7,-6.704373650505004,15.251798398696375,69
23,3,-9.510079708176013,-5.538549684956087,55
24,3,-10.508709242930587,-5.590885641199032,54
24,1,-12.976742892193824,4.438379834227204,-2
24,5,-5.766993690477485,12.701905202708732,36
24,9,12.580740180511436,2.1786184486597735,66
24,8,-10.686586392047115,-1.2472592216359188,48
24,4,-0.08349919209321316,11.654017786903676,18
24,2,11.247009890424069,1.9696381594259638,46
24,7,-7.5789933576444,14.766988778450038,68
24,0,8.722774367868825,8.251885367546778,-12
24,6,-12.160236912883667,-13.682020591546326,37
25,9,13.346784623630414,2.8214060583463128,65
25,2,12.129957483282995,1.5001665966400728,45
25,3,-9.699692248555639,-6.178670893491505,53
25,0,8.447137012051826,7.29062367160846,-13
25,8,-10.599430649299457,-2.2434539197276644,47
25,4,-0.1532556658373388,12.6515818371635,17
